Trainer,Multi?,Route,Combined Name,Pokemon 1,Move 1,Move 2,Move 3,Move 4,Pokemon 2,Move 1,Move 2,Move 3,Move 4,Pokemon 3,Move 1,Move 2,Move 3,Move 4,Pokemon 4,Move 1,Move 2,Move 3,Move 4,Pokemon 5,Move 1,Move 2,Move 3,Move 4,Pokemon 6,Move 1,Move 2,Move 3,Move 4,Double?,P1 Item,P1 Nature,P1 IV,P1 Lvl,P2 Item,P2 Nature,P2 IV,P2 Lvl,P3 Item,P3 Nature,P3 IV,P3 Lvl,P4 Item,P4 Nature,P4 IV,P4 Lvl,P5 Item,P5 Nature,P5 IV,P5 Lvl,P6 Item,P6 Nature,P6 IV,P6 Lvl
Team Aqua Grunt #6,FALSE,Aqua Hideout,Team Aqua Grunt #6 - Aqua Hideout,Dragonite,Toxic,Protect,Flamethrower,Dragon Claw,Muk,Explosion,,,,Lapras,Rest,Thunder,Ice Beam,Confuse Ray,Exeggutor,Sleep Powder,Psychic,Ancientpower,Egg Bomb,Blissey,Counter,Softboiled,Psywave,Seismic Toss,Medicham,Psychic,Fake Out,Brick Break,Shadow Ball,FALSE,Leftovers,Relaxed,31,60,Choice Band,Timid,31,60,Leftovers,Hardy,31,64,Quick Claw,Naughty,31,62,Leftovers,Sassy,31,62,Scope Lens,Gentle,31,64
Team Aqua Grunt #7,FALSE,Aqua Hideout,Team Aqua Grunt #7 - Aqua Hideout,Gyarados,Dragon Dance,Earthquake,Frustration,Bounce,Cradily,Giga Drain,Recover,Toxic,Earthquake,Slaking,Hyper Beam,,,,Nidoking,Earthquake,Counter,Shadow Ball,Poison Tail,Snorlax,Selfdestruct,,,,Starmie,Hydro Pump,Signal Beam,Psychic,Ice Beam,FALSE,Brightpowder,Naive,31,63,Leftovers,Hardy,31,64,Choice Band,Adamant,31,60,Leftovers,Naive,31,64,Choice Band,Naughty,31,60,Scope Lens,Hasty,31,62
Team Aqua Grunt #8,FALSE,Aqua Hideout,Team Aqua Grunt #8 - Aqua Hideout,Lapras,Rain Dance,Thunder,Surf,Ice Beam,Kingdra,Rain Dance,Octazooka,Ice Beam,Double-Edge,Gorebyss,Rain Dance,Muddy Water,Ice Beam,Psychic,Lanturn,Rain Dance,Hydro Pump,Thunder,Ice Beam,Victreebel,Sleep Powder,Gunk Shot,Leaf Blade,HP Water,Castform,Rain Dance,Hydro Pump,Ice Beam,Thunder,FALSE,Leftovers,Adamant,31,63,Leftovers,Lax,31,62,Lum Berry,Relaxed,31,65,Leftovers,Naughty,31,64,Scope Lens,Bold,31,63,Petaya Berry,Jolly,31,62
Team Aqua Admin Matt,FALSE,Aqua Hideout,Team Aqua Admin Matt - Aqua Hideout,Glalie,Explosion,Ice Shard,Ice Beam,Earthquake,Kingdra,Rain Dance,Octazooka,Draco Meteor,Ice Beam,Machamp,Superpower,Earthquake,Rock Slide,HP Ghost,Tauros,Double-Edge,Earthquake,Iron Tail,,Dragonite,Dragon Dance,HP Flying,Earthquake,Superpower,Wailord,Amnesia,Earthquake,Ice Beam,Rest,FALSE,Lum Berry,Gentle,31,66,Lum Berry,Bold,31,66,Quick Claw,Timid,31,67,Choice Band,Impish,31,66,Lum Berry,Careful,31,66,Leftovers,Modest,31,67
Team Aqua Grunt #1  + Team Aqua Grunt #2,TRUE,Route 124,Team Aqua Grunt #1  + Team Aqua Grunt #2 - Route 124,Ludicolo,Rain Dance,Ice Beam,Giga Drain,Waterfall,Qwilfish,Rain Dance,Waterfall,Sludge Bomb,Destiny Bond,Omastar,Rain Dance,Hydro Pump,Ice Beam,Ancientpower,Dewgong,Rain Dance,Ice Beam,Drill Run,Waterfall,Gorebyss,Rain Dance,Hydro Pump,Ice Beam,Psychic,Whiscash,Rain Dance,Hydro Pump,Earth Power,Ancientpower,TRUE,Lum Berry,Calm,31,64,Lum Berry,Lonely,31,65,Mystic Water,Calm,31,65,Lum Berry,Quiet,31,65,Lum Berry,Modest,31,64,Brightpowder,Hardy,31,65
Sis And Bro Lila & Roy,FALSE,Route 124,Sis And Bro Lila & Roy - Route 124,Gyarados,Double-Edge,Body Slam,Hydro Pump,Bounce,Pikachu,Thunderbolt,Signal Beam,Surf,Volt Tackle,,,,,,,,,,,,,,,,,,,,,TRUE,Quick Claw,Bold,31,66,Light Ball,Modest,31,65,,,,,,,,,,,,,,,,
SwimmerM Declan,FALSE,Route 124,SwimmerM Declan - Route 124,Luvdisc,Attract,Sweet Kiss,Flail,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Hardy,0,100,,,,,,,,,,,,,,,,,,,,
SwimmerF Jenny,FALSE,Route 124,SwimmerF Jenny - Route 124,Azumarill,Ice Beam,Double-Edge,Superpower,Hydro Pump,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Bold,31,64,,,,,,,,,,,,,,,,,,,,
Triathlete Isabella,FALSE,Route 124,Triathlete Isabella - Route 124,Nidoking,Poison Fang,Drill Run,Megahorn,Head Smash,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Modest,31,65,,,,,,,,,,,,,,,,,,,,
Sailor Ernest,FALSE,Route 125,Sailor Ernest - Route 125,Mightyena,Poison Fang,Hyper Voice,Super Fang,Shadow Ball,Hitmonchan,Sky Uppercut,Shadow Punch,Rock Slide,Mach Punch,,,,,,,,,,,,,,,,,,,,,FALSE,,Hardy,31,65,,Gentle,31,65,,,,,,,,,,,,,,,,
Bird Keeper Presley,FALSE,Route 125,Bird Keeper Presley - Route 125,Tropius,Air Slash,Earthquake,Giga Drain,Synthesis,Pelipper,Water Pulse,Hydro Pump,Ice Beam,Sky Attack,,,,,,,,,,,,,,,,,,,,,FALSE,Quick Claw,Hardy,31,64,Mystic Water,Modest,31,64,,,,,,,,,,,,,,,,
Expert Auron,FALSE,Route 125,Expert Auron - Route 125,Flygon,Double-Edge,Crunch,Dragon Claw,Earthquake,Machamp,Vital Throw,Facade,Cross Chop,Rock Slide,,,,,,,,,,,,,,,,,,,,,FALSE,,Hardy,31,67,,Hasty,31,67,,,,,,,,,,,,,,,,
Sr. and Jr. Kim & Iris,FALSE,Route 125,Sr. and Jr. Kim & Iris - Route 125,Togetic,Follow Me,Softboiled,,,Marowak,Belly Drum,Ancientpower,Earthquake,Body Slam,,,,,,,,,,,,,,,,,,,,,TRUE,Shoal Shell,Hardy,31,100,Thick Club,Jolly,31,66,,,,,,,,,,,,,,,,
Psychic Preston  + Psychic Maura,TRUE,Mossdeep Gym,Psychic Preston  + Psychic Maura - Mossdeep Gym,Solrock,Signal Beam,Earthquake,Ancientpower,Light Screen,Girafarig,Earthquake,Psychic,Body Slam,Signal Beam,Claydol,Earthquake,Signal Beam,Psychic,Light Screen,Lunatone,Calm Mind,Ice Beam,Psychic,Moonlight,Xatu,Calm Mind,Giga Drain,Psychic,Drill Peck,Chimecho,Calm Mind,Psychic,Recover,Reflect,TRUE,Lum Berry,Timid,31,66,Lum Berry,Naive,31,66,Lum Berry,Hardy,31,66,Leftovers,Naive,31,66,Lum Berry,Adamant,31,66,Leftovers,Rash,31,66
Psychic Samantha  + Cooltrainer Virgil,TRUE,Mossdeep Gym,Psychic Samantha  + Cooltrainer Virgil - Mossdeep Gym,Jynx,Lovely Kiss,Ice Beam,Psychic,Fake Out,Slowbro,Calm Mind,Slack Off,Psychic,Hydro Pump,Exeggutor,Sleep Powder,Psychic,Giga Drain,Ancientpower,Clefable,Shadow Ball,Brick Break,Flamethrower,Follow Me,Hitmonlee,Fake Out,Hi Jump Kick,Rock Tomb,Mach Punch,Armaldo,X-Scissors,Ancientpower,Brick Break,Body Slam,TRUE,Lum Berry,Hardy,31,66,Leftovers,Jolly,31,66,Lum Berry,Naughty,31,66,Leftovers,Careful,31,67,Lum Berry,Hardy,31,66,Lum Berry,Timid,31,66
Gentleman Nate  + Expert Nicholas,TRUE,Mossdeep Gym,Gentleman Nate  + Expert Nicholas - Mossdeep Gym,Espeon,Skill Swap,Psychic,Bite,Toxic,Alakazam,Skill Swap,Psychic,Toxic,Fire Punch,Claydol,Skill Swap,Toxic,Drill Run,Ice Beam,Slaking,Slack Off,Body Slam,Superpower,Shadow Ball,Hitmonchan,Facade,Brick Break,Shadow Punch,Fake Out,Swellow,Facade,Steel Wing,Quick Attack,Sky Attack,TRUE,Lum Berry,Bold,31,67,Lum Berry,Impish,31,66,Lum Berry,Hardy,31,67,Lum Berry,Hardy,31,67,Leftovers,Naughty,31,67,Leftovers,Lax,31,67
Psychic Blake  + Cooltrainer Hannah,TRUE,Mossdeep Gym,Psychic Blake  + Cooltrainer Hannah - Mossdeep Gym,Grumpig,Calm Mind,Psychic,Fire Punch,Thunderpunch,Slowking,Calm Mind,Psychic,Hydro Pump,Slack Off,Hypno,Calm Mind,Psychic,Fire Punch,Thunderpunch,Granbull,Return,Superpower,Shadow Ball,Bulk Up,Hitmontop,Bulk Up,Brick Break,Rock Tomb,Fake Out,Tyranitar,Ice Beam,Superpower,Ancientpower,Crunch,TRUE,Leftovers,Timid,31,66,Leftovers,Naive,31,66,Leftovers,Adamant,31,66,Lum Berry,Quiet,31,66,Lum Berry,Jolly,31,66,Lum Berry,Timid,31,66
Hex Maniac Sylvia  + Expert Macey,TRUE,Mossdeep Gym,Hex Maniac Sylvia  + Expert Macey - Mossdeep Gym,Lapras,Perish Song,Sleep Talk,Rest,,Misdreavus,Perish Song,Sleep Talk,Rest,,Wigglytuff,Perish Song,Sleep Talk,Rest,,Wobbuffet,Encore,Mirror Coat,Destiny Bond,Counter,Dugtrio,Ancientpower,Protect,Substitute,,Wynaut,Counter,Mirror Coat,Encore,Destiny Bond,TRUE,Quick Claw,Quiet,31,69,Quick Claw,Hardy,31,69,Quick Claw,Hardy,31,69,Lum Berry,Lonely,31,69,Leftovers,Naive,31,69,Leftovers,Gentle,31,100
Expert Clifford  + Hex Maniac Kathleen,TRUE,Mossdeep Gym,Expert Clifford  + Hex Maniac Kathleen - Mossdeep Gym,Electrode,Explosion,,,,Snorlax,Selfdestruct,,,,Metagross,Agility,Explosion,Flash Cannon,Earthquake,Gengar,Imprison,Protect,Shadow Ball,Brick Break,Dusclops,Imprison,Protect,Shadow Ball,Brick Break,Misdreavus,Imprison,Protect,Shadow Ball,Psywave,TRUE,Choice Band,Hardy,31,67,Choice Band,Naive,31,66,Lum Berry,Lonely,31,66,Lum Berry,Hardy,31,68,Leftovers,Adamant,31,66,Lum Berry,Impish,31,69
Gym Leaders Tate&Liza,FALSE,Mossdeep Gym,Gym Leaders Tate&Liza - Mossdeep Gym,Latias,Dragon Claw,Mist Ball,HP Fire,Waterfall,Latios,Dragon Claw,Luster Purge,HP Fire,Thunderbolt,Gardevoir,Psychic,Thunderbolt,Fire Punch,HP Grass,Medicham,Fake Out,Brick Break,HP Psychic,Shadow Ball,Starmie,Hydro Pump,Ice Beam,Thunderbolt,Psychic,Jirachi,Meteor Mash,Signal Beam,Fire Punch,Ancientpower,TRUE,Lum Berry,Impish,31,70,Lum Berry,Sassy,31,70,Lum Berry,Sassy,31,70,Lum Berry,Careful,31,70,Lum Berry,Relaxed,31,70,Lum Berry,Naughty,31,70
Magma Grunt #1  + Magma Grunt #2,TRUE,Mossdeep Space Center,Magma Grunt #1  + Magma Grunt #2 - Mossdeep Space Center,Clefable,Sunny Day,Fire Blast,Ice Beam,Thunderbolt,Exeggutor,Sunny Day,Egg Bomb,Psychic,HP Fire,Castform,Sunny Day,Fire Blast,Ice Beam,Thunderbolt,Typhlosion,Sunny Day,Overheat,Wild Charge,HP Ice,Venusaur,Sunny Day,HP Fire,Leaf Blade,Sludge Bomb,Houndoom,Sunny Day,Overheat,Crunch,HP Grass,TRUE,Lum Berry,Lax,31,67,Lum Berry,Calm,31,67,Lum Berry,Adamant,31,67,Lum Berry,Hardy,31,67,Lum Berry,Jolly,31,67,Lum Berry,Hardy,31,67
Magma Grunt #3,FALSE,Mossdeep Space Center,Magma Grunt #3 - Mossdeep Space Center,Solrock,Swagger,Earthquake,Shadow Ball,Ancientpower,Banette,Shadow Ball,HP Fight,Shadow Sneak,Swagger,Tyranitar,Counter,Crunch,Ice Beam,Thunderbolt,Skarmory,Flash Cannon,Drill Peck,Rock Slide,Swagger,Claydol,Earthquake,Psychic,Ice Beam,Shadow Ball,Blaziken,Blaze Kick,Brick Break,Earthquake,Thunderpunch,FALSE,Focus Band,Mild,31,67,Brightpowder,Modest,31,67,Lum Berry,Hardy,31,66,Brightpowder,Impish,31,68,Scope Lens,Hardy,31,67,Brightpowder,Bold,31,67
Magma Admin Courtney,FALSE,Mossdeep Space Center,Magma Admin Courtney - Mossdeep Space Center,Crobat,Heat Wave,Sky Attack,HP Ground,Giga Drain,Regirock,Thunder Wave,Explosion,Ancientpower,Earthquake,Gardevoir,Calm Mind,Psychic,Thunderbolt,Fire Punch,Arcanine,Overheat,Extremespeed,Wild Charge,HP Grass,Meganium,Grasswhistle,Giga Drain,Earthquake,Ancientpower,Dusclops,Will-O-Wisp,Rest,Shadow Ball,Earthquake,FALSE,Lum Berry,Hardy,31,70,Lum Berry,Sassy,31,70,Lum Berry,Naive,31,70,Lum Berry,Hasty,31,70,Lum Berry,Mild,31,70,Leftovers,Brave,31,70
Magma Grunt #4,FALSE,Mossdeep Space Center,Magma Grunt #4 - Mossdeep Space Center,Dodrio,Hyper Beam,Quick Attack,Drill Peck,Steel Wing,Wobbuffet,Counter,Mirror Coat,Encore,Destiny Bond,Steelix,Explosion,Iron Tail,Earthquake,Rock Slide,,,,,,,,,,,,,,,,FALSE,Silk Scarf,Relaxed,31,66,Leftovers,Hasty,31,66,Quick Claw,Sassy,31,69,,,,,,,,,,,,
Magma Grunt #5,FALSE,Mossdeep Space Center,Magma Grunt #5 - Mossdeep Space Center,Camerupt,Overheat,Earthquake,Explosion,Rock Slide,Weezing,Explosion,Gunk Shot,Shadow Ball,Fire Blast,Altaria,Earthquake,Air Slash,Dragon Claw,Flamethrower,,,,,,,,,,,,,,,,FALSE,Quick Claw,Hardy,31,69,Scope Lens,Hardy,31,66,Scope Lens,Hardy,31,66,,,,,,,,,,,,
Magma Grunt #6,FALSE,Mossdeep Space Center,Magma Grunt #6 - Mossdeep Space Center,Breloom,Spore,Mach Punch,Giga Drain,Brick Break,Magmar,Heat Wave,Cross Chop,Thunderpunch,Confuse Ray,Kangaskhan,Attract,Earthquake,Shadow Ball,Body Slam,,,,,,,,,,,,,,,,FALSE,Scope Lens,Jolly,31,66,Brightpowder,Hardy,31,67,Leftovers,Naughty,31,66,,,,,,,,,,,,
Magma Leader Maxie  + Magma Admin Tabitha,TRUE,Mossdeep Space Center,Magma Leader Maxie  + Magma Admin Tabitha - Mossdeep Space Center,Tauros,Earthquake,Double-Edge,HP Ghost,Iron Tail,Flygon,Earthquake,Flamethrower,Signal Beam,Ancientpower,Metagross,Earthquake,Meteor Mash,Shadow Ball,HP Grass,Gengar,Giga Drain,Thunderbolt,Fire Punch,Ice Punch,Salamence,Draco Meteor,Air Slash,Flamethrower,HP Grass,Charizard,Overheat,Thunderpunch,Dragon Claw,HP Ice,TRUE,Lum Berry,Jolly,31,71,Lum Berry,Hardy,31,71,Lum Berry,Jolly,31,72,Lum Berry,Sassy,31,70,Lum Berry,Relaxed,31,70,Lum Berry,Relaxed,31,71
Triathlete Pablo,FALSE,Route 126,Triathlete Pablo - Route 126,Rapidash,Heat Wave,Megahorn,Morning Sun,Hypnosis,Poliwrath,Mud Shot,Hypnosis,Brick Break,Hydro Pump,,,,,,,,,,,,,,,,,,,,,FALSE,Quick Claw,Lonely,31,65,Quick Claw,Impish,31,66,,,,,,,,,,,,,,,,
Bird Keeper Aidan,FALSE,Route 127,Bird Keeper Aidan - Route 127,Pidgeot,Steel Wing,Double-Edge,Heat Wave,Sky Attack,Skarmory,Air Slash,X-Scissors,Rock Slide,Flash Cannon,,,,,,,,,,,,,,,,,,,,,FALSE,,Impish,31,65,,Timid,31,64,,,,,,,,,,,,,,,,
Cooltrainer Athena,FALSE,Route 127,Cooltrainer Athena - Route 127,Shuckle,Protect,Toxic,Attract,Rest,Dusclops,Protect,Shadow Sneak,Brick Break,Attract,,,,,,,,,,,,,,,,,,,,,FALSE,Leftovers,Gentle,31,70,Leftovers,Hardy,31,66,,,,,,,,,,,,,,,,
Fisherman Roger,FALSE,Route 127,Fisherman Roger - Route 127,Wailmer,Double-Edge,Roar,Hyper Voice,Hydro Pump,Armaldo,Crush Claw,Superpower,X-Scissors,Ancientpower,Gyarados,Double-Edge,Body Slam,Hydro Pump,Bounce,,,,,,,,,,,,,,,,FALSE,,Quiet,31,67,,Gentle,31,63,,Sassy,31,64,,,,,,,,,,,,
Fisherman Jonah,FALSE,Route 127,Fisherman Jonah - Route 127,Milotic,Water Sport,Whirlpool,Hydro Pump,Ice Beam,Wailord,Double-Edge,Roar,Hydro Pump,Hyper Voice,Dragonair,Dragonbreath,Whirlwind,Hydro Pump,Double-Edge,,,,,,,,,,,,,,,,FALSE,,Brave,31,63,,Hardy,31,62,,Impish,31,66,,,,,,,,,,,,
Fisherman Henry,FALSE,Route 127,Fisherman Henry - Route 127,Mantine,Air Slash,Surf,Ice Beam,Confuse Ray,Tentacruel,Sludge Bomb,Toxic,Confuse Ray,Hydro Pump,,,,,,,,,,,,,,,,,,,,,FALSE,,Naughty,31,65,,Adamant,31,64,,,,,,,,,,,,,,,,
Black Belt Koji,FALSE,Route 127,Black Belt Koji - Route 127,Hitmonlee,Body Slam,Earthquake,Rock Slide,Hi Jump Kick,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Quick Claw,Calm,31,67,,,,,,,,,,,,,,,,,,,,
Triathlete Isaiah,FALSE,Route 128,Triathlete Isaiah - Route 128,Magneton,Tri Attack,Flash Cannon,Thunderbolt,Thunder Wave,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Lonely,31,65,,,,,,,,,,,,,,,,,,,,
Triathlete Katelyn,FALSE,Route 128,Triathlete Katelyn - Route 128,Dugtrio,Tri Attack,Slash,Earthquake,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Choice Band,Hasty,31,66,,,,,,,,,,,,,,,,,,,,
SwimmerM Harrison,FALSE,Route 128,SwimmerM Harrison - Route 128,Quagsire,Earthquake,Muddy Water,Body Slam,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Hasty,31,65,,,,,,,,,,,,,,,,,,,,
SwimmerF Carlee,FALSE,Route 128,SwimmerF Carlee - Route 128,Seaking,Ice Beam,Double-Edge,Drill Run,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Jolly,31,35,,,,,,,,,,,,,,,,,,,,
Aqua Grunt #1,FALSE,Seafloor Cavern,Aqua Grunt #1 - Seafloor Cavern,Starmie,Thunder Wave,Thunder,Ice Beam,Psychic,Swampert,Earthquake,Swagger,Muddy Water,Sludge Bomb,Dewgong,Signal Beam,Surf,Disable,Ice Beam,Victreebel,Weather Ball (Water),Sleep Powder,Gunk Shot,Leaf Blade,Jolteon,Thunder,Bite,Reflect,Baton Pass,Dragonite,Thunder,Surf,Ice Beam,Superpower,FALSE,King'S Rock,Brave,31,67,Brightpowder,Bold,31,67,King'S Rock,Brave,31,69,Quick Claw,Adamant,31,68,Petaya Berry,Gentle,31,66,Leftovers,Impish,31,67
Aqua Grunt #2,FALSE,Seafloor Cavern,Aqua Grunt #2 - Seafloor Cavern,Kabutops,Ancientpower,X-Scissors,Earth Power,HP Flying,Ludicolo,Toxic,Ice Beam,Leech Seed,Protect,Electabuzz,Thunder,Cross Chop,Ice Punch,Psychic,Golduck,Calm Mind,Surf,Ice Beam,Psychic,Snorlax,Thunder,Surf,Body Slam,Shadow Ball,Salamence,Hydro Pump,Dragon Claw,Earthquake,Air Slash,FALSE,King'S Rock,Naughty,31,70,Leftovers,Jolly,31,67,Brightpowder,Lax,31,68,Scope Lens,Rash,31,68,Leftovers,Lax,31,68,Brightpowder,Lonely,31,67
Aqua Grunt #3,FALSE,Seafloor Cavern,Aqua Grunt #3 - Seafloor Cavern,Gorebyss,Hydro Pump,Ice Beam,Psychic,Substitute,Poliwrath,Hypnosis,Superpower,Earthquake,Ice Beam,Dragonite,Surf,Dragon Claw,Thunder,HP Flying,Milotic,Toxic,Recover,Waterfall,Ice Beam,Lanturn,Thunder,Confuse Ray,Ice Beam,Waterfall,Castform,Thunder,Weather Ball (Water),Ice Beam,Attract,FALSE,Petaya Berry,Hardy,31,67,Lum Berry,Naughty,31,70,Scope Lens,Mild,31,67,Leftovers,Hardy,31,66,Brightpowder,Gentle,31,68,Scope Lens,Naughty,31,66
Aqua Grunt #4,FALSE,Seafloor Cavern,Aqua Grunt #4 - Seafloor Cavern,Wailord,Amnesia,Selfdestruct,Hyper Voice,Water Spout,Slaking,Double-Edge,Surf,Thunder,Shadow Ball,Qwilfish,Substitute,Explosion,Sludge Bomb,Surf,Ampharos,Flatter,Thunder,HP Water,Signal Beam,Glalie,Explosion,Ice Shard,Ice Beam,Earthquake,Kingdra,Octazooka,Toxic,Ice Beam,Protect,FALSE,Lum Berry,Hardy,31,70,Leftovers,Timid,31,70,Scope Lens,Mild,31,70,Leftovers,Hardy,31,67,Scope Lens,Relaxed,31,70,Leftovers,Jolly,31,66
Aqua Grunt #5,FALSE,Seafloor Cavern,Aqua Grunt #5 - Seafloor Cavern,Omastar,Hydro Pump,Muddy Water,Ice Beam,Ancientpower,Exeggutor,Sleep Powder,Psychic,Ancientpower,Egg Bomb,Blissey,Thunder,Softboiled,Ice Beam,Counter,Gengar,Thunder,Giga Drain,Ice Punch,Confuse Ray,Politoed,Hypnosis,Surf,Earthquake,Ice Beam,Kingdra,Dragon Dance,HP Ground,Body Slam,Octazooka,FALSE,Scope Lens,Bold,31,70,Leftovers,Mild,31,69,Leftovers,Lax,31,69,King'S Rock,Brave,31,69,Leftovers,Mild,31,70,Leftovers,Sassy,31,67
Aqua Admin Shelly,FALSE,Seafloor Cavern,Aqua Admin Shelly - Seafloor Cavern,Lapras,Drill Run,Hydro Pump,Ice Beam,Thunder,Ludicolo,Leech Seed,Waterfall,Protect,Ice Beam,Starmie,Hydro Pump,Thunder,Psychic,Ice Beam,Raichu,Thunder,Surf,Extremespeed,Sing,Dragonite,Earthquake,Extremespeed,HP Flying,Thunder,Vaporeon,Sing,Muddy Water,Ice Beam,HP Grass,FALSE,Lum Berry,Hardy,31,72,Leftovers,Hardy,31,72,Lum Berry,Timid,31,72,Lum Berry,Careful,31,72,Lum Berry,Relaxed,31,72,Leftovers,Adamant,31,73
Team Aqua Leader Archie,FALSE,Seafloor Cavern,Team Aqua Leader Archie - Seafloor Cavern,Raikou,Thunder,HP Grass,Weather Ball (Water),Calm Mind,Suicune,Calm Mind,Ice Beam,Hydro Pump,HP Grass,Metagross,Meteor Mash,Earth Power,Sludge Bomb,Protect,Dragonite,Thunder,Draco Meteor,Hydro Pump,Extremespeed,Qwilfish,Destiny Bond,Gunk Shot,Hydro Pump,Swords Dance,Kingdra,Octazooka,Draco Meteor,Signal Beam,Yawn,TRUE,Lum Berry,Lax,31,75,Lum Berry,Impish,31,75,Lum Berry,Naive,31,75,Lum Berry,Lonely,31,75,Lum Berry,Relaxed,31,75,Lum Berry,Jolly,31,75
SwimmerM Reed,FALSE,Route 129,SwimmerM Reed - Route 129,Tangela,Stun Spore,Giga Drain,Swagger,Synthesis,Kingler,Crabhammer,X-Scissors,Return,Agility,Charizard,Blast Burn,Flamethrower,Earthquake,Dragon Claw,Furret,Quick Attack,Body Slam,Counter,Shadow Ball,,,,,,,,,,,FALSE,Leftovers,Naive,31,66,Focus Band,Jolly,31,67,Salac Berry,Mild,31,65,Leftovers,Gentle,31,67,,,,,,,,
Triathlete Chase,FALSE,Route 129,Triathlete Chase - Route 129,Dugtrio,Earthquake,,,,Magneton,Thunderbolt,Flash Cannon,HP Ice,Thunder Wave,Dodrio,Swords Dance,Quick Attack,Drill Peck,Steel Wing,,,,,,,,,,,,,,,,FALSE,Choice Band,Impish,31,66,Focus Band,Mild,31,67,Silk Scarf,Careful,31,66,,,,,,,,,,,,
Triathlete Allison,FALSE,Route 129,Triathlete Allison - Route 129,Mantine,Protect,Ice Beam,Hydro Pump,Attract,Altaria,Dragon Claw,Flamethrower,Ice Beam,Sing,Lunatone,Hypnosis,Psychic,Ice Beam,Moonlight,,,,,,,,,,,,,,,,FALSE,Leppa Berry,Quiet,31,67,Dragon Fang,Bold,31,66,Leppa Berry,Hardy,31,66,,,,,,,,,,,,
SwimmerF Tisha,FALSE,Route 129,SwimmerF Tisha - Route 129,Whiscash,Protect,Earth Power,Attract,Ice Beam,Swalot,Gunk Shot,Protect,Attract,Shadow Ball,Gyarados,Protect,Bounce,Attract,Thunder Wave,,,,,,,,,,,,,,,,FALSE,Leftovers,Timid,31,66,Leftovers,Hardy,31,66,Leftovers,Impish,31,66,,,,,,,,,,,,
SwimmerM Clarence,FALSE,Route 129,SwimmerM Clarence - Route 129,Sharpedo,Hydro Pump,Crunch,Double-Edge,Ice Beam,Grumpig,Psychic,Thunder Wave,Fire Punch,Signal Beam,Victreebel,Stun Spore,Sludge Bomb,Leaf Blade,Double-Edge,,,,,,,,,,,,,,,,FALSE,Scope Lens,Hardy,31,66,Silverpowder,Lonely,31,66,Scope Lens,Hasty,31,66,,,,,,,,,,,,
SwimmerM Rodney,FALSE,Route 130,SwimmerM Rodney - Route 130,Magmar,Brick Break,Flamethrower,Confuse Ray,Fire Blast,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Relaxed,31,65,,,,,,,,,,,,,,,,,,,,
SwimmerF Katie,FALSE,Route 130,SwimmerF Katie - Route 130,Luvdisc,Attract,Sweet Kiss,Flail,Surf,Banette,Faint Attack,Shadow Ball,Double-Edge,Confuse Ray,,,,,,,,,,,,,,,,,,,,,FALSE,,Adamant,0,100,,Careful,31,64,,,,,,,,,,,,,,,,
SwimmerM Santiago,FALSE,Route 130,SwimmerM Santiago - Route 130,Ampharos,Shock Wave,Thunderpunch,Thunderbolt,Body Slam,Bellossom,Stun Spore,Synthesis,Petal Dance,Double-Edge,,,,,,,,,,,,,,,,,,,,,FALSE,,Naughty,31,66,,Naive,31,66,,,,,,,,,,,,,,,,
SwimmerM Kevin,FALSE,Route 131,SwimmerM Kevin - Route 131,Sudowoodo,Earthquake,Double-Edge,Explosion,Head Smash,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Hardy,31,66,,,,,,,,,,,,,,,,,,,,
Triathlete Talia,FALSE,Route 131,Triathlete Talia - Route 131,Misdreavus,Hyper Voice,Pain Split,Shadow Ball,Night Shade,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Naughty,31,65,,,,,,,,,,,,,,,,,,,,
SwimmerM Richard,FALSE,Route 131,SwimmerM Richard - Route 131,Qwilfish,Hydro Pump,Toxic,Gunk Shot,Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Timid,31,67,,,,,,,,,,,,,,,,,,,,
SwimmerF Kara,FALSE,Route 131,SwimmerF Kara - Route 131,Medicham,Hi Jump Kick,Psychic,Reversal,Recover,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Lax,31,65,,,,,,,,,,,,,,,,,,,,
SwimmerM Herman,FALSE,Route 131,SwimmerM Herman - Route 131,Huntail,Confuse Ray,Muddy Water,Ice Beam,Super Fang,Whiscash,Bounce,Earthquake,Muddy Water,Ice Beam,,,,,,,,,,,,,,,,,,,,,FALSE,,Impish,31,65,,Lonely,31,65,,,,,,,,,,,,,,,,
